Column1;Adlar;Tarihler;Yorumlar;Satýcý;Begenme
193;HA;19 Mayýs 2022, Perþembe;Fiyatý na göre çok üst seviye bir ürün;HAS ÝLETÝÞÝM;0
194;AS;30 Mayýs 2022, Pazartesi;Memnun oldum  güzel tavsiye ederim;Avrupa;0
195;ÜÇ;07 Haziran 2022, Salý;Hýzlý kargo teþekkürler;BittiBitiyor;0
196;HÖ;08 Haziran 2022, Çarþamba;Harika bir ürün;SERKANÝLETÝÞÝM;0
197;HD;09 Haziran 2022, Perþembe;Bu fiyata çok iyi;KýrmýzýElma;0
198;SK;08 Haziran 2022, Çarþamba;Ürün güzel kargo çok hýzlý geldi;FÝXELEKTRONÝK;0
199;ÖK;12 Temmuz 2022, Salý;Çok iyi;Avrupa;0
200;ÖK;12 Temmuz 2022, Salý;Çok iyi;Avrupa;0
201;MK;06 Temmuz 2022, Çarþamba;Güzel bir ürün;Azim Holding;0
202;CY;18 Mayýs 2022, Çarþamba;Gayet güzel telefon;Fýrsat Uygun;0
203;FG;23 Haziran 2022, Perþembe;Çok güzel telefon.Esime aldýk.Cok memnun.;KýrmýzýElma;0
204;BY;20 Haziran 2022, Pazartesi;Harika bir sekilde elime ulastý. Çok tesekkür ederim.??;TAÞTANLAR TÝCARET;0
205;SK;08 Haziran 2022, Çarþamba;Ürün güzel kargo çok hýzlý geldi;FÝXELEKTRONÝK;0
206;HÖ;08 Haziran 2022, Çarþamba;Harika bir ürün;SERKANÝLETÝÞÝM;0
207;YY;19 Eylül 2022, Pazartesi;Kullanýþlý;BittiBitiyor;0
208;MÖ;13 Mayýs 2022, Cuma;Gayet kaliteli bir telefon kesinlikle öneririm sorunsuz;Avrupa;0
209;SD;13 Eylül 2022, Salý;Teþekkürler;ARELNET ÝLETÝÞÝM;0
210;YY;19 Eylül 2022, Pazartesi;Kullanýþlý;BittiBitiyor;0
211;KÇ;02 Eylül 2022, Cuma;Hýzlý kargo;Macrocom;0
212;HÇ;07 Mayýs 2022, Cumartesi;Tavsiye ederim guzel telefon;Avrupa;0
213;GÇ;08 Mayýs 2022, Pazar;güzel cihaz biraz pahalý;ALTERNATÝFGRUP;0
214;BÝ;24 Mayýs 2022, Salý;Mukemnel;anadolutelekom;0
215;MC;01 Haziran 2022, Çarþamba;Güzel;TAÞTANLAR TÝCARET;0
216;GB;07 Haziran 2022, Salý;Süper;BittiBitiyor;0
217;AY;12 Haziran 2022, Pazar;Süper;KýrmýzýElma;0
218;EÞ;15 Haziran 2022, Çarþamba;Çok güzel;KýrmýzýElma;0
219;KK;21 Haziran 2022, Salý;Teþekkürler;KýrmýzýElma;0
220;CE;26 Haziran 2022, Pazar;Teþekkürler;KýrmýzýElma;0
221;SE;28 Haziran 2022, Salý;Ýyi;Avrupa;0
222;BB;09 Haziran 2022, Perþembe;Ürün harika;KýrmýzýElma;0
223;SÞ;30 Ocak, Pts;Güzel ama þarj hýzlý bitiyor s7 edge kullanan biri olarak daha yüksek þarj ömrü beklerdim;ALBAYRAK TEKNOLOJÝ;0
224;EK;30 Mart, Per;Fiyatýnýn en iyisi;Hepsiburada;0
225;GÝ;05 Nisan, Çar;Oyun beklentisi olmayan kiþiler için birebir bir telefon. Donma kasma yok. Ekranýn 90 hz olmasý güzel takýlma olmuyor. Bu fiyata bu telefon çok iyi. Tavsiye ederim.;Hepsiburada;0
226;MK;16 Ocak, Pts;Tam bir fiyat performans ürünü. Cihazý Hepsiburada'dan aldým, ertesi gün teslim edildi. Kutunun içinden þarj adaptörü de çýktý. Günlük kullaným için ideal.;Samsung Türkiye;0
227;TY;15 Þubat, Çar;Ürünü iki gündür kullanýyorum. Tüm beklentilerimi karþýladý. Bu fiyat aralýðýna göre alýnabilecek iyi bir telefon. Siz de benim gibi günlük kullaným, sosyal medya ve profesyonel olmayan fotoðraf çekiminde kullanacaksanýz harika bir seçim olacaktýr. Bir kýlýfla kullanlmasýnda fayda var çünkü yere düþerse gövdede kýrýklar oluþabilir. Ürün gayet güzel paketlenmiþ bir þekilde tam zamanýnda elime ulaþtý. Almayý düþünenlere tavsiye ederim.;Hepsiburada;0
228;OS;05 Haziran 2022, Pazar;hýz açýsýndan mükemmel iyi þarjý 1 gün hiç þarja takmadým 2. günün sonunda bile 30du ve uzun süre gidiyor o yönden çok iyi. onun haricinde kamera seçenekleri süper kaliteli çekimler yapýlýyor tabi bir iphone kalitesiyle karþýlaþtýrýlamaz ama fena deðil yine de. son olarak da rengi ve tasarýmý çok iyi sipariþ verdim ertesi gün ulaþtý çok tþekkür ederim ilginiz için :);BittiBitiyor;0
229;DÇ;28 Temmuz 2022, Perþembe;Ürünü alalý 1 hafta oldu fiyatýna göre alýnabilecek en iyi telefon kargo hýzlýydý tesekkürler;Cep Ekspress;0
230;MB;04 Ocak, Çar;Ürünü kendim için aldým. 3 gndür kullanýyorum. Gayet  güzel, hýzlý. donma yapmýyor. Ekraný baþarýlý ve kameralar tatmin edici. Eðer telfonla çok vakit geçirmiyorsanýz rahatlýkla kullanabileceðiniz bir model. Ürün orijinal kutusunda jelatinli ve özenli paketlenmiþ bir þekilde tam zamanýnda elime ulaþtý. Tavsiye ederim.;ucuzhepsi;0
231;OS;06 Haziran 2022, Pazartesi;Güzel ürün. Samsung kalite iphone almak tarih oldu.. 5temmuz2022 dolar 17TL  bunu ancak alabildik , zamanla bu cihazlarýda almak güçleþecek;BittiBitiyor;0
232;ÖÖ;05 Temmuz 2022, Salý;Güzel ürün tavsiye ederim.;MK SES TEKNOLOJÝ;0
233;BB;12 Ocak, Per;Mükemmel teþekkürler;Samsung Türkiye;0
234;AA;07 Ocak, Cts;Siyah istedik, gri geldi... neyse...;Samsung Türkiye;0
235;MA;30 Mart, Per;Ürunun on kamerasi bekleneni karsilamiyor , arka kamera cok tatmin edici performans camera cok guzel batarya guzel yeni nesil bir telefon almak isteyenler alabilir , 1 yildiz on kameradan kiriyorum , gerisi guzel ????;Hepsiburada;0
236;UD;29 Nisan 2022, Cuma;Gayet kullanýþlý bir telefon.Fiyat performans olarak deðerlendirilecek olursa gayet iyi.Satýcý güvenilir,ürünümü çabucak özenli bir þekilde kargoladý.Çok teþekkür ediyorum.;Cantek Ýletiþim;2
237;SÇ;06 Mayýs 2022, Cuma;Telefon gayet güzel, ekraný çok iyi 90hz olduðu için yað gibi kayýyor. Oyun performansýda iyi. Bu fiyata þuanki en iyi telefon denilebilir. Kargo çok hýzlý geldi.;Avrupa;1
238;ÝK;13 Mayýs 2022, Cuma;Hepsiburada zaten kendi kalitesiyle yolluyor.Paketleme güzeldi.5G Desteði olan modeli,kamerasý fiyata göre güzel.Tek sýkýntý 6.6 inç biraz büyük oldu babama almýþtým :);Avrupa;0
239;FE;06 Haziran 2022, Pazartesi;Çabuk ve güvenilir þekilde adresimize ulaþtý.Telefon beklediðimden çok çok iyi,büyük ihtimalle fiyatlar artacak ve satýn aldýðým fiyat ile aradaki fark artacak.Tavsiye ederim.;Hepsiburada;0
240;MD;26 Mayýs 2022, Perþembe;Babam için aldim fiyatýna göre alýnabilecek en iyi cihazlardan tam fiyat performans ürünü tavsiye ederim;Avrupa;0
241;FH;05 Aðustos 2022, Cuma;Hýzlý Ve Saðlam Geldi;ALPAY TEKNOLOJÝ;0
242;EÜ;12 Ekim 2022, Çarþamba;Mükemmel bir ürün. Ekraný ve kamere performansý beklediðimden daha iyi çýktý. Uzun yýllar kullanabileceðiniz kalitede bir ürün.;Hepsiburada;0
243;OÝ;13 Eylül 2022, Salý;Çok güzel istediðimiz gibi sorunsuz geldi herkese tavsiye ederim;Hepsiburada;0
244;ÞÇ;07 Eylül 2022, Çarþamba;Hýzlý ve saðlam geldi bu fiyata alýnabilecek en iyisi;TeknoSes;0
245;SG;21 Kasým 2022, Pazartesi;4 gündür kullanýyorum bi sýkýntý yok. Telefon çok hýzlý ulaþtý. Sipariþ verir vermez 5 dk içinde kargolandý ertesi gün elime ulaþtý. Bataryasý beklediðim kadar iyi deil bi gün gidiyor 24 saat falan daha iyi olmasýný beklerdim;MALIBU;0
246;BB;17 Kasým 2022, Perþembe;2 yýldýr kullanýyorum.  Herhangi bir sorun yaþamadým.;ANKATEKNOB;0
247;CT;01 Kasým 2022, Salý;Güzel telefon zamlardan önce almýþtým memnunum;Avrupa;0
248;HB;08 Kasým 2022, Salý;Ýyi;BATI ELECTRONICS;0
249;ÝM;27 Mart, Pts;Çok hýzlý ve güvenli teslimat fiyatýna göre gayet baþarýlý bir telefon tek eksiði parmak izi okuyucu ve kulaklýk da gelmedi.;Samsung Türkiye;0
250;AK;12 Haziran 2022, Pazar;Güzel kullanýþlý orta dereceli bir telefon;KýrmýzýElma;0
251;YA;09 Temmuz 2022, Cumartesi;Çok beðendim;Azim Holding;0
252;SK;30 Kasým 2022, Çarþamba;Hýzlý kargo;ANKATEKNOB;0
253;ÖB;16 Kasým 2022, Çarþamba;bu özellikte alýnabilecek telefon. tavsiye ederim.;gala iletiþim;0
254;NA;18 Mayýs 2022, Çarþamba;Güzel ürün biraz kasma oluyor ama idare ederi;HAS ÝLETÝÞÝM;0
255;ED;22 Mayýs 2022, Pazar;Pil biraz daha güçlendirilse mükemmel olur;Avrupa;0
256;ÝA;04 Haziran 2022, Cumartesi;Ambalajlama gayet güzel. Teþekkürler;Avrupa;0
257;MG;08 Haziran 2022, Çarþamba;Kargon hýzlý Geldi ürün gayet iyi SAtýcýya teþekkür ederim;KýrmýzýElma;0
258;ÞT;24 Haziran 2022, Cuma;Iyi;MARTEKNOLOJÝ;0
259;BA;29 Aðustos 2022, Pazartesi;Güzel ürün;Fýrsat Uygun;0
260;NG;29 Aðustos 2022, Pazartesi;Anneme aldýk, kamerasý düþük ýþýkta iyi iþ çýkarmýyor. Ekraný güzel ama kenarlarýnda böyle karartý var gibi geldi bana ama annemin hiç fark etmediði bir durum bu,  belki de ben çok detaycýyýmdýr. Pil ömrü harika bitmiyor adeta pili, yanýnda gelen þarj aleti de hýzlý þarj saðlýyor hýzlýca doluyor.;KýrmýzýElma;0
261;YG;17 Þubat, Cum;Telefonu kendime aldým, Samsung'u uzun zamandýr hiç sevmeyen birisi olarak söylüyorum gerçekten güzel bir telefon. Bunun yerine Xiaomi tercih edecektim ama bu sefer Samsung olsun dedim ve doðru tercih yaptýðýmý anladým. Kamerasý o kadar iyi deðil. bunu baþtan söylemek istiyorum ama akýcý bir telefon.;FavorimPazarlama;1
262;SP;16 Þubat, Per;Çok fazla beklentiniz yoksa çok güzel bir telefon, telefonun kullanýmý çok pratik, hýzlý donmasý kasmasý yok, sadece kamerasý vasat diyebilirim, kötü bir kamerasý yok fakat bu paralarada çok bi beklenti içine girmenek lazým sonuçta giriþ seviyesinin bi týk belki üstünde bir telefon;Hepsiburada;1
263;YÇ;18 Þubat, Cts;Kardeþime hediye olarak aldým,satýcýdan kulaklýk da rica etmiþtim saðolsun kýrmadýlar.3-4 ay oldu alalý þuan memnun bir sorun yok;Hepsiburada;0
264;YA;08 Nisan, Cts;Yaklasik 6 aydir kullaniyorum cok memnunum fiyatina gore alinabilecek bir telefon. Sarji 2 gun yetiyor blutoot surekli acik wifi surekli acik oldugu halde. Arti yonu fazla ekrani buyuk,agir degil, 6 aydir eksi yonleri neler diye sorarsaniz ekran isigi az cikiyor gunesli havalarda biraz sikinti oluyor onu disinda bi eksigi yok bence, kamerasina da 10 uzerinden 8 veririm.;beyazay teknoloji;1
265;AÇ;28 Temmuz 2022, Perþembe;Telefon arka kapakta imei no yazmýyor. Çift sim'li günlük kullaným için ideal. Annem için aldýk. Önemli olan þarjýydý. 1,5 - 2 gün kullanýma göre gidiyor. fiyat performans iyi ama S serisi galaxy performansý beklemeyin.;Avrupa;0
266;YÞ;25 Ocak, Çar;Ekran nadiren donup kalmakla birlikte icinde kulaklik olmamasi beni sasirtti kapali.kutu gelmesine ragmen;Samsung Türkiye;0
267;HO;13 Ocak, Cum;Kargo çok hýzlý. Bayi paketleme çok iyi teþekkürler e ticaret ailesi ????;Samsung Türkiye;0
268;HE;26 Ekim 2022, Çarþamba;Hiçbir maðazada samsung kalmamýþtý mecbur internetten aldým. Telefona bakarak aldým. Kamera idare eder onun dýþýnda çok güzel telefon.;ERC TEKNOLOJÝ DÜNYASI;0
269;AU;20 Eylül 2022, Salý;Fotoðraf çekerken telefon baya kasýyor bu kadar beklemiyorduk. Onun haricinde Samsung bilen bilir.;Hepsiburada;0
270;GB;25 Kasým 2022, Cuma;Cihaz güzel ancak belirgin bir müdahale olmadan ekranda çizik oldu.;gala iletiþim;0
271;AT;25 Kasým 2022, Cuma;Mantýklý Bi telefon;CEPGUNCEL;0
272;SD;21 Ocak, Cts;Ürün orijinal oðlum için aldým güzel telefon;CepteTek;0
273;RÇ;10 Ocak, Sal;Fiyatýna göre güzel;Harcabitmez;0
274;AY;06 Mart, Pts;Fiyatýna göre gayet yeterli bence..;smskurumsal;0
275;EÖ;15 Mart, Çar;Bu fiyat bandýndaki en iyi 2 3 üründen biri bence;Hepsiburada;0
276;BÜ;12 Mart, Paz;Hýzlý ve sorunsuz teslimat ,ihtiyacýmý karþýladý. Fiyat performanslý ürün bence.;RG Group;0
277;MÇ;25 Aðustos 2022, Perþembe;Harika bir telefon;ALTERNATÝFGRUP;0
278;GG;07 Ekim 2022, Cuma;Ürünü babam için aldýk, kullanýmý kolay çok çetrefilli bir þey deðil. Fiyat performans arýyorsanýz öneririm.;Hepsiburada;0
279;RY;17 Eylül 2022, Cumartesi;Son güncellemelerden sonra telefonun performansý arttý verilen paranýn karþýlýðý;Avrupa;0
280;ÖA;01 Eylül 2022, Perþembe;Ýþimizi görüyor çok para vermeye gerek yok;Kya Teknoloji Ýletiþim;0
281;HE;28 Kasým 2022, Pazartesi;Gayet güzel bir telefon ben memnun kaldým;ANKATEKNOB;0
282;MT;13 Kasým 2022, Pazar;Anneme aldýk. Çok memnun.;Zada Technology;0
283;ÖT;29 Ekim 2022, Cumartesi;Ýyiymiþ;KýrmýzýElma;0
284;AÝ;05 Mart, Paz;Teþekkürler;Samsung Türkiye;0
285;DD;31 Mart, Cum;Annem için aldýk yeterli, hatta annem gibi bir kullanýcý için baþarýlý bir ürün;Hepsiburada;0
286;MS;06 Haziran 2022, Pazartesi;Çok iyi gerçekten. Kulaklýk modda Dolby Surround desteðide var müzik dinlemeyi sevenler için.;ALTERNATÝFGRUP;0
287;KK;29 Haziran 2022, Çarþamba;gayet güzel ve  hýzlý bir þekilde ulaþýldý teþekkürler;KýrmýzýElma;0
288;SK;14 Eylül 2022, Çarþamba;Ürün gayet yeterli;3G Teknoloji;0
289;AA;26 Nisan 2022, Salý;Güzel ve kullanýþlý herkes alsýn teþekkürler kýzýl elma;BittiBitiyor;1
290;AC;16 Haziran 2022, Perþembe;Güzle urun;KýrmýzýElma;0
291;EÇ;12 Eylül 2022, Pazartesi;Fp ürünü;Mini XStore;0
292;GP;03 Haziran 2022, Cuma;Kargo baya korumalý saðlam þekilde geldi telefon geleli 1 hafta oldu þuanlýk sorun yok memnunum. Kamerasýna gelirsek arka kamera iyi baya ön kamera ise gündüz çekimlerinden fena deðil orta düzeyde alýnabilecek bir telefon gibi gözüküyor. Ayrýca içinden sadece þarj aleti çýkýyor haberiniz olsun.;Hepsiburada;0
293;BA;21 Kasým 2022, Pazartesi;Fiyatýna göre güzel bir telefon. Ekraný özellikle renkleri canlý gösteriyor ancak kamera bu telefonun diðer özelliklerine yakýþmamýþ.;VAROLÝLETÝÞÝM;0
294;AK;09 Kasým 2022, Çarþamba;Hýzlý teslimat eksi yonleri þarj kablosu çok kýsa ,kulaklýk kutudan çýkmýyor telefon hýzý kalitesi çok iyi teþekkürler;FÝXELEKTRONÝK;0
295;OM;02 Mart, Per;Çok kaliteli bir cihaz fiyatýna göre özellikle hoparlör sesi çok yüksek;Hepsiburada;0
296;LK;28 Mart, Sal;"Fiyat performans ürünü
Teþekkürler";Samsung Türkiye;0
297;EA;25 Mart, Cts;Fiyat performans ürünü diyebilirim;Elektromanya12;0
298;ZY;18 Mart, Cts;Þuan için bir sorun yaþamýyorum. Umarým uzun seneler sorunsuz þekilde kullanabilirim.;ANKATEKNOB;0
299;SE;20 Temmuz 2022, Çarþamba;Guzel telefon ne beklediginle alakalý, bu tel benim isimi gorur diyorsan al. baskasinin lafiyla baskasiyla kiyaslarsan en usttun bir alti bile seni mutlu ve memnun etmez. bu benim isimi fazlasiyla goruyor. tavsiye ederim.;güncel gross;0
300;BG;29 Haziran 2022, Çarþamba;Telefon iyi Dls 22 ve Asphalt 9 gibi grafik kalitesinin yüksek olduðu oyunlarda Orta ayarlarda kasmasýz iyi performans istiyor þarjý fena deðil ve f/p ürünü kesinlikle;Avrupa;0
301;PB;30 Haziran 2022, Perþembe;orta segment güzel bir cihaz;KýrmýzýElma;0
302;GD;09 Kasým 2022, Çarþamba;Babama aldýk memnun kaldý parasýna göre güzel bir telefon;özmert iletiþim;0
303;SÖ;26 Kasým 2022, Cumartesi;Uygun fiyat yeterli ürün;KýrmýzýElma;0
304;SC;22 Temmuz 2022, Cuma;Fiyatýna göre gayet güzel;EZL TEKNOLOJÝ;0
305;AT;03 Mayýs 2022, Salý;Fiyat prrformans ürünü  oðluma aldým gayet memnun;ALPASLAN ÝLETÝÞÝM;1
306;KK;29 Mayýs 2022, Pazar;Güzel telefon beklentilerimizi karþýladý;GÜVEN TEKNOLOJÝ1;0
307;SÇ;25 Mayýs 2022, Çarþamba;Güzel telefon;Hepsiburada;0
308;FB;14 Haziran 2022, Salý;Tavsiye ederim güzel ve þýk bir telefon;Han Mobile;0
309;OK;29 Haziran 2022, Çarþamba;Kýzým için almýþtým. 9 aydýr kullanýyor hiç bir sýkýntý yaþamadýk. Gayet memnunuz.;Avrupa;0
310;OM;25 Ocak, Çar;Herþey süper tek sorun kargo 1 haftada geldi.;Avrupa;0
311;KU;19 Mart, Paz;Fiyatýna göre ideal bir telefon;SARAY ÝLETÝÞÝM;0
312;AB;04 Kasým 2022, Cuma;Oyun telefonu deðil günlük kullaným için çok iyi süper amoled ekraný olmasý harika ama oyunda ýsýnmýyor ama performansý çok iyi deðil;Beþken Elektronik;0
313;NS;13 Eylül 2022, Salý;Fiyat/performans ürünü.;YAZAR SHOP;0
314;MÝ;08 Aðustos 2022, Pazartesi;Güzel iyi kullanýyoruz sýkýntý yok;CÝNCÝN;0
315;EG;18 Eylül 2022, Pazar;Kamerasý çok kötü;EGECEP;0
316;SD;23 Haziran 2022, Perþembe;Fiyatýna göre iyi bir telefon.. Tam anne baba telefonu..;Uygun Telefon;0
317;TE;02 Haziran 2022, Perþembe;Ýdare eder;KýrmýzýElma;0
318;TB;22 Haziran 2022, Çarþamba;1 yýldýz kýrmam üründen dolayý deðil lakin kargolama çok kötü idi bu kadar hassas bir elektronik cihazýn daha korumalý gelmesini beklerdim.;HAS ÝLETÝÞÝM;0
319;MG;04 Mart, Cts;Fiyayina göre iyi telefon a20 de amoled ekran varken a23 niye yok ondan puan kýrdým;Hepsiburada;0
320;SÇ;12 Aralýk 2022, Pazartesi;"Teþekkürler hepsiburada.
Akþam satýn aldým sabah teslim edildi";güncel gross;0
321;MY;04 Mart, Cts;Ürün güzel kargo hýzlý daha ne olacak;Hepsiburada;0
322;TT;28 Þubat, Sal;Kapali kutu geldi teþekkürler;Hepsiburada;0
323;IT;22 Ekim 2022, Cumartesi;Gayet gðzel;CEMRE ÝLETÝÞÝM HÝZMETLERÝ;0
324;IK;28 Þubat, Sal;Bataryasý çok uzun gitmiyor, kalbur üstü iyi bir telefon;Samsung Türkiye;0
325;AG;05 Aðustos 2022, Cuma;Kargo hýzlý geldi.Telefonu da beðendim.Ama içinden kulaklýk çýkmadý;Avrupa;0
326;GA;29 Nisan 2022, Cuma;Hýzlý gönderi bildiðim bir ürün .;Avrupa;1
327;EA;11 Aðustos 2022, Perþembe;Mükemmel;BTS;0
328;SA;12 Haziran 2022, Pazar;Cihaz için söylenecek bir þey yok. Zaten alanlar özelliklerine bakýp alýyordur. Günlük kullanýmda sizi üzmeyecektir. Kargo baþarýlý. Kýsa zamanda (1.5 gün) telefon elime ulaþtý. Yalnýz kutu biraz büyüktü. Ýçinde langýr lungur hareket ediyordu. Neyseki pat pat naylonla kaplamýþlar. Telefonun kutusunda herhangi bir deformasyon yoktu.;BittiBitiyor;0
329;BB;16 Eylül 2022, Cuma;"1.Kamerasý çok iyi 
2.Pil süresi çok iyi (kullaným)
3.NFC yi henüz çalýþtýramadýk samsung ile yazýþýyoruz.
4.Kumanda özelligi çalýþmýyor,samsung ile yazýþýyoruz 
5.Teleonla konuþurken 2 defa ses gitti kendilerine ilettim.
6.Nadiren çekmiyor sanýrým, ses robotik çýkýyor.
7.Ýçinden çýkan þarj aleti 8 saatte ful þarj ediyor (Rakamýn fazlasý var eksigi yok)
9.Bunlarý neden ben almadan önce kimse yazmamýþ,bizde almadan burayý okuduk,herkes kargocuyu vs. anlatmýþ????";Hepsiburada;0
330;CN;14 Mayýs 2022, Cumartesi;Kullanýþlý batarya uzun gidiyor..hýzlý þarj ile 1 saat gibi bir sürede doluyor;DADII;21
331;ÝÝ;30 Aralýk 2022, Cuma;Ýyi telefon memnunum;KýrmýzýElma;0
332;BÇ;07 Ekim 2022, Cuma;Hýzlý ve güvenli geldi fakat böyle cihaz alýp bu fiyata kulaklýk verilmemesi çok saçma olmuþ 3 haftadýr sorunsuz kullanýyorum;CEPGUNCEL;0
333;OA;13 Mayýs 2022, Cuma;Telefon güzel fakat ekranýnda küçük kýlcal bir çizikle geldi.;Avrupa;0
334;MA;21 Eylül 2022, Çarþamba;Telefon güzel. Eðer oyun oynayacaksanýz biraz sýkýntýlý olabilir. Onun dýþýnda ekraný 90hz bu çok iyi. Satýcý Samsung'tu, 1.5 gün içinde elime ulaþtý telefon. Alabilirsiniz telefonu. Kamerasý da üst düzey çekimler dýþýnda ideal. 10X zoom var fakat pikselleri sayýlabilir bazen. 50MP çekimi aþýrý iyi.;kuyuteknoloji;0
335;NA;14 Ocak, Cts;Telefon biraz büyük  ama hýzlý þarjý 4 Birgül kullandým sürekli elindeydi yam 1 gün gidiyor þarjý 1.30 dakikada doluyor;Samsung Türkiye;0
336;SE;24 Þubat, Cum;Tavsiye edilebilir bir ürün. Imei sorguladýk, imalat kayýtlý yazýyor sorun yok yani. Þuan için bir sorun yok tavsiye ederim;Hepsiburada;0
337;NK;12 Ekim 2022, Çarþamba;Boyutlarý elimle çok uyumludur. Görünümü de güzeldi;ENHIZLIBÝZDE;0
338;GA;22 Ekim 2022, Cumartesi;Telefon iyi eksisi büyük ve agir olmasý;SERKA ÝLETÝÞÝM;0
339;KY;26 Kasým 2022, Cumartesi;Ürün yazýldýðý gibi, kargo poþetindeki ayrýntý da gülümsetti;242castle;0
340;AS;22 Aralýk 2022, Perþembe;4 yýldýr kullandýðým 12mp lik mi A1 telefonumla neredeyse ayný goruntu kalitesine sahip.islemciye bataryaya laf yok hýzý makul.ama 4 kamera cok luzumsuz genis aci kamerasi berbat cekiyor hic koymasalarda olurmus.on kamera yeterli zaten fazlasi whatsap gorusmelerinde daha fazla veri transferi harciyor.50mp kamerasi guzel cekiyor.Makro kamerasida net ama 50mp kamera ya alinca da makro cekim oluyor diyafram 1.8 cunku. Video sarsinti onleyici cok ise yaramasa da kamerayi sallamadiginiz surece net goruntulu videolar cekiyor. Gece cekimlerinden fazla bisey beklemiyordum zaten ama yine de kapasitesine gore tatmin edici burda sizin ayarlariniz onemli. Samsung kamera ayarlari xiaomi mi modelleri kadar gelismis ozellikleri yok. Mesela netlik ayari yok sadece cozunurluk var.pro modu iso wd var sadece . Enstantane ozelligi yok gece cekimlerinde yansima ýþýk efekti yapilamiyor.cogu eski telefonda bile var. Samsung kullanmayali 6 sene oluyor marka kendini bozmus diyebilirim .arkadaslarimdaki samsung modellerinde de sadece bu kadar ozellik oldugunu gordum cunku.Ayni seviye de redmi 10 serisine yonlenmenizi tavsiye ederim. Tabi derdiniz benim gbi fotografsa. deneme firsatim oldu acikcasi samsung modellerden iyiler. Hatta paraniz varsa mi serisi alin.Samsungun tek farki az ozellikle bize cok pahalliya kitlemek olmus gibime geldi. Kargo aldigim aksamin sabahi cikti yola 3 gun sonra ulasabildi. Samsung Kutusunun kosesi yirtikti ama paket acilmamisti.Fatura yoktu neden? Iade etmeyelim diye mi.Neyse ki telefon sorunsuz iki hat yuvasida kayitli.neyse kisiye gore istekler degisir kisacasi ona gore alin. Bazilari yok bozuk sarji az falan demisler ama oyle sorunlar yok sarji elimden dusmese de 6saat dayaniyor. Onlarinki fabrika hatasi sorunlu belliki garantiye gondermeleri gerek.;SARAY ÝLETÝÞÝM;0
341;EY;18 Temmuz 2022, Pazartesi;Cihaz fena deðil markasý güzel.Alacaklara kýsaca cihaz firma garantili geliyor sadece faturasý  Türkiye garantili imei numarasýný sorgulatabilirler onun dýþýnda güzel denebilir.;ÝSTANBUL GSM;4
342;ÝE;02 Aðustos 2022, Salý;Güzel urun;ALPAY TEKNOLOJÝ;0
343;KD;16 Ekim 2022, Pazar;Telefonu 1 aya yakýn kullanýyorum bir tek bataryasi memnun etmedi beni , eski telefonum M serisiydi bataryasi 5000mAh di ama 2 gün kullaniyordum bu telefon sadece 1 gün kullanabiliyorum , kamera harika net fotograflar alýyorum,  90 hz ekran yenileme hýzý var ama çok güc tüketiyor o yüzden kullanmýyorum ama cok akýcý oluyor;Azim Holding;0
344;FA;08 Kasým 2022, Salý;Samsung marka telefon gayet güzel fotoðraf çekimi ses kalitesi gayet güzel müzik dinlerken sesi harika;ANKATEKNOB;0
345;SÞ;04 Nisan, Sal;Güzel fena deðil;Hepsiburada;0
346;BÖ;10 Nisan, Pts;Ýdare eder;Hepsiburada;0
347;BB;10 Haziran 2022, Cuma;Ekranýn üst tarafýndaki yazýlarýn çok küçük olmasý dýþýnda tenkit edilecek bir tarafý yok bence. Güzel bir ürün. Satýcý da tam puan almayý hak ediyor.;CEMRE ÝLETÝÞÝM HÝZMETLERÝ;0
348;NY;28 Eylül 2022, Çarþamba;Fiyatýna göre oldukça kaliteli duruyor.Batarya ve iþlemci çok iyi.Ekranýn büyük olmasý da ayrý bir güzellik.Kamera olarak beklentiye göre deðiþir.10 üzerindne 6  verilebilir.;ceylan iletiþim;0
349;MG;11 Haziran 2022, Cumartesi;Ürün zaten arastirmiþtik ogluma aldim harika olan hepsi buradanin sistemi ve anlayiþi cihaz sik ve guzel teþekurler hepsibura;Avrupa;0
350;OÇ;18 Haziran 2022, Cumartesi;Rengi bebek mavisi hiç beðenmedim buz mavisi bekliyordum;KýrmýzýElma;0
351;AM;11 Kasým 2022, Cuma;GÜZEL;ANKATEKNOB;0
352;CM;08 Kasým 2022, Salý;Baþarýlý, fiyat performans ürünü;Cepsoft;0
353;NY;26 Mayýs 2022, Perþembe;Fiyatýnýn çok çok iyisi bi cihaz, sadece ön kamera biraz beklentileriniz altýnda kalabilir geri kalan tüm özellikler 5 / 4 diyebilirim, satýcý çok iyi bir þekilde kargolamýþ ekstra koruma poþeti içinde, 2 gün kargolama süresi biraz uzun geldi ama geri kalan bi sýkýntý yaþamadýk, Samsung sistemden check ettim garantisini þimdilik sorunsuz.;MERSÝN MOBÝLE;0
354;MY;12 Haziran 2022, Pazar;Ürünü eþime aldým severek kullanýyor,þarj süresi çektiði resimler gayet güzel.Çok beklentisi özellik arayanlara hitap etmeyebilir.Bu fiyata super performans…;KýrmýzýElma;0
